Applicant Business Name,Site County,System,System Name,Final Certified Project Cost,Final Tax Credit,Tax Credit Rate,Location 1,Site City
Northwest Evaluation Association,Mult,Sustainable Building,USGBC LEED (CI) Gold, $123.995, $43.398, 0.35, 121 NW Everett Street ,Portland
Stafford Hills Racquet & Fitness Club,Clac,Sustainable Building,USGBC LEED (NC) Silver, $375.736, $131.508, 0.35,5916 Nyberg Lane ,Tualatin
B & W Moore Farms,Klam,Conservation,VFDs, $16.020, $5/607, 0.35, 11835 Lower Klamath Lake Road ,Klamath Falls
Cyrk Building LLC,Mult,Sustainable Building,USGBC LEED (NC) Platinum, $218.826, $76.589, 0.35, 2 SE Clinton St,Portland
Oregon Trail School District,Clac,Sustainable Building,USGBC LEED (NC) Gold,$1.098.448,$384.457,0.35,37 Bell St.,Sandy
Vitesse LLC. c/o Paul Hastins  Janofsky & Walker,Croo,Sustainable Building,USGBC LEED (NC) Gold,$678,$237.545,0.35,1280 SW Tom McCall Rd.,Prineville
Umatilla County Juvenile Detention Center,Umat,Conservation,HVAC System,$279.525,$97.834,0.35,817 SE 13th Street,Pendleton
Davis Tool,Wash,Conservation,VFDs,$33.592,$11.757,0.35,3740 NW Aloclek Place,Hillsboro
Lebanon Transportation Program,Linn,Transportation,Transit Providers/Transportation Services,$66.725,$23.354,0.35,80 Tangent St,Lebanon
Northside Investors LLC,Wall,Solar,Photovoltaics,$62.227,$31.114,0.5,70493 Elk Mountain Rd,Enterprise
City of Gresham,Mult,Conservation,Industrial Process Mod,$853.725,$298.804,0.35,15 NE Sandy Blvd,Portland
West Linn Wilsonville School District,Clac,Sustainable Building,USGBC LEED (NC) Gold,$415.580,$145.453,0.35,1025 S. Rosemont Road,West Linn
Hood River County School District-Mid Valley ES,Hood,Conservation,Boiler Modification,$44.880,$15.708,0.35,3686 David Rd,Odell
Hood River County School District-Wy'East MS,Hood,Conservation,Boiler Modification,$40.695,$14.243,0.35,0 Wy'East Road,Hood River
Linn Benton Community College,Linn,Sustainable Building,USGBC LEED (NC) Silver,$148.355,$51.924,0.35,6 SW Pacific Blvd.,Albany
North Clackamas School District,Clac,Conservation,Weatherization,$24.030,$8.411,0.35,3811 SE Concord Rd,Milwaukie
Port of Portland,Mult,Solar,Photovoltaics,$91.832,$45.916,0.5,7 NE Airport Way,Portland
Port of Portland,Mult,Solar,Photovoltaics,$87.480,$43.740,0.5,7 NE Airport Wy,Portland
Jesuit High School,Wash,Sustainable Building,USGBC LEED (NC) Gold,$180.358,$63.125,0.35,0 SW Beaverton Hillsdale Hw,Portland
Parkrose School District,Mult,Conservation,Lighting Modification,$60.270,$21.095,0.35,3701 NE 131st,Portland
Parkrose School District,Mult,Conservation,Lighting Modification,$120.945,$42.331,0.35,13 NE Shaver Street,Portland
Parkrose School District,Mult,Conservation,Boiler Modification,$72.559,$25.396,0.35,13 NE Shaver Street,Portland
Parkrose School District,Mult,Conservation,Weatherization,$21.495,$7.523,0.35,10410 NE Prescott,Portland
Medford School District 549,Jack,Conservation,Boiler Modification,$97.980,$34.293,0.35,1 Johnson Street,Medford
Medford School District 549C,Jack,Conservation,Lighting Modification,$45.580,$15.953,0.35,1 N. Keene Way Dr,Medford
Medford School District for Medford Opportunity Hi,Jack, Transportation, Transit Passes, $895, $313,0.35, Earhart Street, Medford
North Medford High School,Jack,Conservation,VFDs,$14.472,$5.065,0.35,1 Keene Way Drive,Medford
Portland Water Bureau,Mult,Hydro,New Diversion,$136.875,$68.438,0.5,1907 NE Skidmore St,Portland
Parkrose School District,Mult,Conservation,HVAC System,$466.806,$163.382,0.35,13 NE Shaver St,Portland
SOO Oregon State University,Bent,Transportation, Transit Passes, $196.070, $68.625, 0.35,128 Oak Creek Blvd. OSU, Corvallis
Hood River County School Dist./Hood River HS,Hood,Conservation,Boiler Modification,$101.385,$35.485,0.35,1220 Indian Creek Rd,Hood River
SiC Processing US LLP,Mult,Conservation,Industrial Process Mod,$1.950.146,$682.551,0.35,6949 N. Cutter Circle,Portland
Farm Power Tillamook LLC,Till,Biomass,Anaerobic Digestion,$2.050.682,$1.025.341,0.5,2050 McCormickLoop Rd.,Tillamook
Roger & Connie Dilts,Mult,Conservation,Weatherization,$2.640,$924,0.35,4624 SE 51st Ave,Portland
ZeaChem Inc,Morr,RD&D - Renewable,RD&D - Renewable,$2000,$1000,0.5,92640 Lewis &amp; Clark Drive,Boardman
TTW LLC.,Jack,Sustainable Building,USGBC LEED (NC) Gold,$54.171,$18.960,0.35,426 A St,Ashland
Mound Solar Owner VI LLC.,Bent,Solar,Photovoltaics,$1.440.067,$720.034,0.5,VMAIL 53rd &amp; Campus Way SE,Corvallis
Cloudburst Recycling Inc.,Mult,Transportation,Alternative Fuel Infrastructure,$28.935,$10.127,0.35,2223 N. Randolph St,Portland
Triangle Pointe LLC,Wash,Conservation,HVAC System,$293.460,$102.711,0.35,13333 SW 68th Parkway,Tigard
The Dannon Company,Mult,Conservation,Refrigeration Conservation,$762.000,$70.267,0.35,5858 NE 87th Ave,Portland
Joel Bohrer,Mult,Conservation,Weatherization,$10.591,$3.707,0.35,4523-4531 SE Taylor,Portland
Town of Lakeview,Lake,Geothermal,Direct Use,$2.667.000,$1.333.000,0.5,Multiple Sites,Lakeview
SOO Portland State University,Mult,Conservation,HVAC System,$243.000,$85.260,0.35,930 SW Hall,Portland
Mt. Hood Community College,Mult,Conservation,Controls,$5.165.000,$1.808.000,0.35,20 SE Stark Street,Gresham
Mt. Hood Community College,Mult,Conservation,Lighting Modification,$979.301,$342.755,0.35,20 SE Stark Street,Gresham
